Year,Quarter,Vehicle_Type,Category,Manufacturer,Registration_Count,YoY_Growth,QoQ_Growth
2022,Q2,4W,MEDIUM PASSENGER VEHICLE,All,4375,,139.99
2022,Q3,4W,MEDIUM PASSENGER VEHICLE,All,5914,,35.18
2022,Q4,4W,MEDIUM PASSENGER VEHICLE,All,3983,,-32.65
2023,Q1,4W,MEDIUM PASSENGER VEHICLE,All,5107,,28.22
2023,Q2,4W,MEDIUM PASSENGER VEHICLE,All,8822,,72.74
2023,Q3,4W,MEDIUM PASSENGER VEHICLE,All,7971,,-9.65
2023,Q4,4W,MEDIUM PASSENGER VEHICLE,All,5238,,-34.29
2024,Q1,4W,MEDIUM PASSENGER VEHICLE,All,6798,,29.78
2024,Q2,4W,MEDIUM PASSENGER VEHICLE,All,9806,,44.25
2024,Q3,4W,MEDIUM PASSENGER VEHICLE,All,8654,,-11.75
2024,Q4,4W,MEDIUM PASSENGER VEHICLE,All,5685,,-34.31
2025,Q1,4W,MEDIUM PASSENGER VEHICLE,All,7671,,34.93
2025,Q2,4W,MEDIUM PASSENGER VEHICLE,All,11379,,48.34
2022,Q1,Other,OTHER THAN MENTIONED ABOVE,All,13049,,
2022,Q2,Other,OTHER THAN MENTIONED ABOVE,All,11864,,-9.08
2022,Q3,Other,OTHER THAN MENTIONED ABOVE,All,10530,,-11.24
2022,Q4,Other,OTHER THAN MENTIONED ABOVE,All,15037,,42.8
2023,Q1,Other,OTHER THAN MENTIONED ABOVE,All,18490,,22.96
2023,Q2,Other,OTHER THAN MENTIONED ABOVE,All,18651,,0.87
2023,Q3,Other,OTHER THAN MENTIONED ABOVE,All,14316,,-23.24
2023,Q4,Other,OTHER THAN MENTIONED ABOVE,All,18819,,31.45
2024,Q1,Other,OTHER THAN MENTIONED ABOVE,All,23097,,22.73
2024,Q2,Other,OTHER THAN MENTIONED ABOVE,All,18748,,-18.83
2024,Q3,Other,OTHER THAN MENTIONED ABOVE,All,16237,,-13.39
2024,Q4,Other,OTHER THAN MENTIONED ABOVE,All,22751,,40.12
2025,Q1,Other,OTHER THAN MENTIONED ABOVE,All,26489,,16.43
2025,Q2,Other,OTHER THAN MENTIONED ABOVE,All,22134,,-16.44
2022,Q1,3W,THREE WHEELER (INVALID CARRIAGE),All,1,,
2022,Q2,3W,THREE WHEELER (INVALID CARRIAGE),All,0,,-100.0
2022,Q3,3W,THREE WHEELER (INVALID CARRIAGE),All,0,,
2022,Q4,3W,THREE WHEELER (INVALID CARRIAGE),All,0,,
2024,Q1,3W,THREE WHEELER (INVALID CARRIAGE),All,1,,inf
2024,Q2,3W,THREE WHEELER (INVALID CARRIAGE),All,4,,300.0
2024,Q3,3W,THREE WHEELER (INVALID CARRIAGE),All,6,,50.0
2024,Q4,3W,THREE WHEELER (INVALID CARRIAGE),All,3,,-50.0
2025,Q1,3W,THREE WHEELER (INVALID CARRIAGE),All,2,,-33.33
2025,Q2,3W,THREE WHEELER (INVALID CARRIAGE),All,1,,-50.0
